"geocode","name_muni","biome","altitude","koppen"
1100015,"ALTA FLORESTA D'OESTE","amazonia",246.08,"Am"
1100023,"ARIQUEMES","amazonia",165.9,"Am"
1100031,"CABIXI","amazonia",224.18,"Am"
1100049,"CACOAL","amazonia",229.95,"Am"
1100056,"CEREJEIRAS","amazonia",192.22,"Am"
1100064,"COLORADO DO OESTE","amazonia",359.62,"Am"
1100072,"CORUMBIARA","amazonia",266.89,"Am"
1100080,"COSTA MARQUES","amazonia",190.01,"Am"
1100098,"ESPIG«O D'OESTE","amazonia",296.94,"Am"
1100106,"GUAJARµ-MIRIM","amazonia",197.96,"Am"
1100114,"JARU","amazonia",209.76,"Am"
1100122,"JI-PARANµ","amazonia",193.68,"Am"
1100130,"MACHADINHO D'OESTE","amazonia",136.83,"Am"
1100148,"NOVA BRASIL∂NDIA D'OESTE","amazonia",249.3,"Am"
1100155,"OURO PRETO DO OESTE","amazonia",220.01,"Am"
1100189,"PIMENTA BUENO","amazonia",286.28,"Am"
1100205,"PORTO VELHO","amazonia",120.26,"Am"
1100254,"PRESIDENTE MêDICI","amazonia",210.79,"Am"
1100262,"RIO CRESPO","amazonia",153.27,"Am"
1100288,"ROLIM DE MOURA","amazonia",242.23,"Am"
1100296,"SANTA LUZIA D'OESTE","amazonia",341.63,"Am"
1100304,"VILHENA","amazonia",409.37,"Am"
1100320,"S«O MIGUEL DO GUAPORê","amazonia",236.82,"Am"
1100338,"NOVA MAMORê","amazonia",205.24,"Am"
1100346,"ALVORADA D'OESTE","amazonia",248.65,"Am"
1100379,"ALTO ALEGRE DOS PARECIS","amazonia",255.49,"Am"
1100403,"ALTO PARA÷SO","amazonia",134.69,"Am"
1100452,"BURITIS","amazonia",170.1,"Am"
1100502,"NOVO HORIZONTE DO OESTE","amazonia",252.89,"Am"
1100601,"CACAUL∂NDIA","amazonia",191.55,"Am"
1100700,"CAMPO NOVO DE ROND‚NIA","amazonia",248.65,"Am"
1100809,"CANDEIAS DO JAMARI","amazonia",103.22,"Am"
1100908,"CASTANHEIRAS","amazonia",201.43,"Am"
1100924,"CHUPINGUAIA","amazonia",329.97,"Am"
