epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,107,21.7245974528816,24.8277577725604,28.890068281467,0.879937841897162,6.18802333749071,17.1858843909152,0.949249436149264,0.95090713805257,0.952519677828546,56.1617426168925,76.1608151730139,92.6466771609851,7.15716107111801,7
201002,83,21.8819359601613,24.9839459348193,29.0439248878995,0.933632241111918,6.3890927618582,17.7163782488963,0.949260782291347,0.950915396101316,0.952521370887206,55.9523106675823,76.4515149210129,92.2395674110724,7.19247115171171,7
201003,89,22.0382558888633,25.17849271998,29.2885801758084,0.991991160694377,6.6092491004346,18.3127547682236,0.949279325007709,0.950943051991138,0.952551982769133,55.1950649640165,75.944714687711,91.7815900555085,7.3082424432602,7
201004,120,22.1879670667235,25.3944080602723,29.591723092979,1.05435187751969,6.84799034513794,18.9694087972763,0.94930318759639,0.950986027582806,0.952605725544116,54.0752959130273,74.8901492190797,91.3175499825591,7.47856122188708,7
201005,173,22.3254793214777,25.6147018879261,29.9210425871964,1.12005166846299,7.10481448788629,19.6807351844338,0.949330493355429,0.951040244737092,0.952676811281947,52.7782939214468,73.5375532610907,90.8922520804897,7.67751376371596,7
201006,241,22.4452024808619,25.8223841351713,30.2442276062459,1.18842781039944,7.37921952059769,20.4411287780755,0.949359365582866,0.951101625314766,0.952759452052417,51.4893493961072,72.1366615597157,90.5505012375661,7.87918634487048,7
201007,325,22.5365028220279,25.9954406158671,30.5197282608806,1.26117596243269,7.68274988957692,21.2767131747435,0.949382966538414,0.951161454000645,0.952842819237611,50.4487824741645,71.0488797509214,90.3603428849149,8.05187375889235,7
201008,413,22.5949789833778,26.1107605173194,30.7053838411963,1.33502118537573,8.00463063947515,22.1499949434082,0.949407450080377,0.951222258705006,0.952928970857744,49.9111484983761,70.5328309177933,90.3892132251761,8.15875139534229,7
201009,496,22.6211090540519,26.1595090295408,30.783139913449,1.40711976292498,8.33525584530998,23.0456136706952,0.949428552339294,0.951278898590948,0.953009354014043,49.9691029656762,70.7604445815397,90.6389185610831,8.18445360172143,7
201010,567,22.6230721352416,26.1469644848151,30.7555606988291,1.47847032518611,8.66338353757359,23.9145291308004,0.949439619735745,0.951323088314436,0.953074421542832,50.6008892411631,71.7183652196186,91.0681811245144,8.12873726953222,7
201011,611,22.6091080177505,26.0812782487508,30.6341219382647,1.54492638702499,8.97169664869705,24.728037369552,0.949453095894081,0.9513638497864,0.953131398102675,51.6902654593345,73.2334385476583,91.6095810263032,8.00099690881795,7
201012,620,22.5841864920293,25.9724995501659,30.437136272484,1.60262313219775,9.2384911798743,25.4244557100685,0.949478740723751,0.951409555589516,0.953188451680987,53.0757116522595,75.0206303506368,92.1860467806021,7.81898187915125,7
201013,615,22.5508909492054,25.8349813636613,30.1929051651925,1.64563634716027,9.43558100887342,25.9236259847991,0.949530518375635,0.951472653580057,0.953257107056488,54.5515118732988,76.7310016743506,92.7176355178799,7.61043429004233,7
201014,630,22.5087036802357,25.6820359595853,29.9285960051704,1.67074263226357,9.54883109870307,26.1802739064292,0.949616896255193,0.95156025320592,0.953343590103144,55.9394173271376,78.0676033136652,93.152318381388,7.40147317784544,7
201015,695,22.4518208817423,25.5246375971416,29.6681591924521,1.68005603066244,9.59265410318279,26.2324454590035,0.949746204738269,0.951680190104934,0.953455542429006,57.0672779836052,78.8123252239102,93.4531380368954,7.21705071075094,7
201016,815,22.371777512339,25.3632244200109,29.4167223972202,1.67731854672399,9.58887510209259,26.1386731477096,0.949923512793256,0.951837163373674,0.953597556195245,57.8826953381724,78.9328845902571,93.6104497574086,7.06410742729696,7
201017,986,22.2590225450755,25.189927966731,29.1638919241579,1.66733383191509,9.56132992087091,25.9672003649833,0.950152005090378,0.952034346639392,0.953772592437936,58.4394531567147,78.5806593534982,93.6539462012923,6.93496257108035,7
201018,1198,22.1067777635976,24.9936696146941,28.8929562906514,1.65422540882831,9.52662961451935,25.7636158377291,0.9504321292143,0.952273141986461,0.953982244936658,58.8478365409921,78.0254836153431,93.634271301545,6.81459721812844,7
