epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,5838,21.1683972857466,23.766921937041,28.0689913701074,4.87135993512381,23.9006768065875,63.657080680684,0.922722296290155,0.925139844731534,0.926901662998489,58.027060646286,75.7332162356013,89.8799465799656,8.0137105843526,7
201002,6417,21.1846474801737,24.0850316581163,28.3130584225364,5.14309193072965,25.9175066854451,68.7653769290317,0.922810207520521,0.925212904131337,0.926952106319052,58.7149664257756,75.4729222666065,89.4136675208986,8.00361316454182,7
201003,6663,21.1905809549251,24.4277374210643,28.6174814725943,5.33592162552537,27.414659799554,71.9835642406273,0.922915120708938,0.925310030619339,0.92703883712019,59.5008299639823,75.9467772364551,89.7547922586904,7.92108791864648,7
201004,6636,21.1882560844007,24.7588390810302,28.9360632032165,5.45287846110602,28.3936251995492,73.5255570789718,0.923035635770784,0.925426944835851,0.927155199377226,60.3347388839078,76.9431923950371,90.6734986741328,7.78686121155867,7
201005,6398,21.1797312430008,25.0421364931592,29.2226062973381,5.49699187906667,28.8558919360653,73.605269907566,0.923170352621442,0.925559367421185,0.927294537065482,61.1667808085536,78.2505789922429,91.9399646480179,7.6216594081705,7
201006,6010,21.1670648051256,25.2414295125963,29.4309134378943,5.47129132100236,28.8029490597369,72.4366171899108,0.923317871176294,0.925703019015652,0.927450194160283,61.9470433609212,79.6573482779625,93.3243680611373,7.44620887337405,7
201007,5564,21.1587048657641,25.2643158500668,29.4482794018352,5.37595687837327,28.1509111758094,70.2610201571459,0.923473133939085,0.925848819353851,0.927609834466562,62.6715167782976,80.9057775040558,94.5270041114277,7.28085933329145,7
201008,5096,21.1560375024389,25.0889760012809,29.2527949500729,5.20604507130633,26.8814078472482,67.1103780073014,0.923642332073085,0.926000426729627,0.927774995801807,63.2522835950398,81.8035719922342,95.355889956432,7.15181520195426,7
201009,4641,21.1539144166455,24.7535571962392,28.8631826174192,5.00764636855132,25.322145859394,63.76268631655,0.923819801237509,0.926150520954483,0.927936660544098,63.6635007703345,82.1517971504762,95.5902793139707,7.07109473539443,7
201010,4227,21.1342824034393,24.346223318646,28.3698144030442,4.79574863474324,23.7223890533516,60.6451116886225,0.92399985466243,0.926291567343821,0.928087045095513,63.7560704448346,81.7883928278836,95.1037936081823,7.070313461015,7
201011,3866,21.0794192618437,23.9915776717822,27.9242937602128,4.54880740847036,22.1208062163267,57.5270741879587,0.92419262267816,0.926432668856183,0.928235846628041,63.238678092197,80.5527898004133,93.8023838490896,7.18227186882604,7
201012,3554,20.9761709986463,23.7869180853029,27.6623743145361,4.23684264053038,20.4624298327716,53.9710943952827,0.924401489387591,0.926579658307878,0.928388981623587,61.9402531606118,78.4926218428393,91.777736849466,7.40940330634391,7
201013,3293,20.8162161559132,23.7911422126583,27.691565954024,3.79431556828109,18.4488012288529,49.0531360728523,0.924633008220778,0.926742119644106,0.928556345047157,59.6731798000095,75.6892964979139,89.1625278921796,7.74873030690052,7
201014,3079,20.5908496194351,23.9804703463473,28.0211183960114,3.18929833216683,15.8396777901792,42.1345013226735,0.924890224192451,0.926925421743161,0.928743148515835,56.433889246413,72.3340727796907,86.1644661499374,8.17842602538362,7
201015,2894,20.3010399081062,24.2666085716749,28.5697697781151,2.41548888161624,12.4824027872532,32.9828630395183,0.925176930759251,0.927136147410254,0.928955698898738,52.4032880355495,68.6703131039751,83.0242069638326,8.66833589523138,6
201016,2709,19.9617750973802,24.5374057007412,29.2028834937264,1.5180886386498,8.47516913982692,22.0822188092869,0.925492785356153,0.927376136063517,0.929196199780291,47.9124574264954,64.9375479523838,79.9672576453485,9.18731596178796,6
201017,2494,19.5977950135843,24.6835541088215,29.7574118747574,0.606423923135321,4.28422664241923,10.8074305999041,0.925836208215566,0.927646323859017,0.929466204881659,43.4536641037959,61.3896257643277,77.1997494806465,9.69642661611988,6
201018,2228,19.2361157029949,24.6353889326144,30.092436514612,0,0.594406959887557,0.979757565579976,0.926202708153725,0.927944150179502,0.929763724896357,39.552789151556,58.2516268627975,74.8758917256921,10.1565946920597,7
201019,1910,18.9007988586947,24.389185058042,30.1394300162544,0,0,0,0.926587182093764,0.928265782080105,0.930085666093914,36.5869962417784,55.658617122461,73.0556815140603,10.5404302976159,7
201020,1562,18.6097620846168,24.0092936306802,29.9254728428179,0,0,0,0.926980439776218,0.928603858212807,0.930425742061171,34.6732536370378,53.6451328656744,71.7130637464243,10.8379561133437,7
201021,1218,18.3777402965099,23.6043444827056,29.5573285606402,0,0,0,0.927371721119926,0.928949087569584,0.930775945764125,33.6919638812269,52.1811704428245,70.7573181604459,11.0455320445564,6
201022,917,18.2064601745039,23.2819688720348,29.176627858332,0,0,0,0.927747232015117,0.929289581205787,0.931125517391441,33.3227913799113,51.1741238201108,70.0547643918558,11.1703673704771,6
