"","Data","prev_med","LB_95","UB_95","LB_90","UB_90","LB_80","UB_80","LB_50","UB_50"
"16",202141,1.34827609507575,0,170.489226036284,0,92.5665841402483,0,130.997248146845,0,42.0797378097922
"17",202142,-0.482621891812329,0,169.817412586674,0,91.0443726061953,0,129.841013705041,0,40.2709380636732
"18",202143,9.82575798646097,0,202.09074861823,0,112.830637170658,0,156.736838863109,0,55.5707726221096
"19",202144,0.381146343286588,0,179.787696412705,0,96.2173442123308,0,137.277203261533,0,42.8408397915568
"20",202145,4.34469477321835,0,194.388254043382,0,105.590889371728,0,149.172447292631,0,49.1026820116663
"21",202146,6.15205861463562,0,202.848893672374,0,110.683973540092,0,155.874016925471,0,52.2690646240058
"22",202147,6.49674695668372,0,206.968374323,0,112.792088458354,0,158.926693006478,0,53.3043018717963
"23",202148,10.9520127884735,0,222.84839067655,0,123.068982523073,0,171.907793851943,0,60.2382706315537
"24",202149,12.2014658679002,0,229.340431853462,0,126.869521187873,0,176.987303190139,0,62.5292308153317
"25",202150,8.08488295950013,0,219.814987579972,0,119.696342390227,0,168.629035185858,0,56.9994083495181
"26",202151,11.5778391520245,0,232.604370020628,0,127.897070812922,0,179.039072238733,0,62.4866896970176
"27",202152,12.4880893986176,0,237.616477082192,0,130.784911813937,0,182.933044422438,0,64.1978477792943
"28",202201,12.9030162182817,0,241.00492670895,0,132.593036514389,0,185.483157778555,0,65.1614579327048
"29",202202,19.8866562855489,0,264.214873127648,0,147.923340208678,0,204.628464581035,0,75.7297379568465
"30",202203,22.0860412170941,0,272.92638330636,0,153.374213552305,0,211.641178218546,0,79.2900196170566
"31",202204,29.2600390561236,0,296.840538440634,0,169.150808818828,0,231.356059479702,0,90.1558273910956
"32",202205,42.0249912568029,0,338.075845336106,0,196.637018206196,0,265.511777772454,0,109.271303181742
"33",202206,44.2921215696713,0,347.003222524218,0,202.228035547522,0,272.700439845177,0,112.929435140245
"34",202207,67.7385314809209,0,421.730925501981,0,252.262508417069,0,334.725552079193,13.511273546431,147.871546713525
"35",202208,96.0664730369512,0,512.118541713369,0,312.757690705836,0,409.734369811043,32.5111830778401,190.104283700854
"36",202209,144.958861373446,0,667.407815228551,0,416.852182814771,16.0967211913264,538.694683571225,65.3582438634124,262.877848502912
"37",202210,248.262964725719,10.8107977123353,994.542184547832,33.2106104542773,636.360984751722,64.7114596116763,810.491230285125,134.833961394222,416.480205330861
"38",202211,386.476289125425,54.3280531018782,1433.48127657009,85.6133751581822,930.598910597659,129.63267033147,1175.01145690368,227.695750668208,622.19178734747
"39",202212,463.68753557157,78.3294617140766,1681.77870725703,114.575523883629,1096.32757074863,165.599193337919,1380.80094135561,279.345649946833,737.609809953752
"40",202213,784.164245813158,179.000658949593,2701.95185386851,235.846753286164,1779.62831783972,315.904786150924,2227.68786931893,494.493096153215,1214.97980150282
"41",202214,944.559414439362,228.831050650088,3218.13059665997,295.981376806121,2124.06442899516,390.590270708509,2655.44365013945,601.764927148759,1454.80037272169
"42",202215,1089.53054394955,273.642758763169,3686.99407870978,350.103764171035,2436.39375440899,457.871944184239,3043.68158550043,698.553814280318,1671.93182185741
"43",202216,1523.2069347213,408.820558327041,5078.2513693832,513.145926753876,3365.74850325384,660.240031973939,4197.18381540349,988.920385161465,2319.64498858807
"44",202217,1501.68878110829,401.120500440947,5019.34145434242,504.051938686726,3324.06385102524,649.228712764809,4146.99729812245,973.781379182822,2289.13339462126
"45",202218,1412.77333802622,372.465431383987,4743.70499983327,469.672955676516,3137.72276678016,606.818754132815,3917.18766783532,913.555069257632,2157.87748653773
"46",202219,1368.20475791138,357.793410807048,4608.72922210357,452.128005114683,3045.71087933241,585.25852942057,3804.21277527096,883.138393676533,2092.59590004665
