lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,10,34,136,91,184,2021-10-11
0,0,0,0,3,46,161,110,215,2021-10-18
0,0,0,0,0,51,174,119,233,2021-10-25
0,0,0,0,9,66,204,142,271,2021-11-01
0,0,0,0,29,98,269,192,351,2021-11-08
0,0,0,0,42,120,314,227,408,2021-11-15
0,0,0,9,71,167,407,299,525,2021-11-22
0,0,0,18,85,192,460,339,592,2021-11-29
0,0,0,29,105,225,529,391,680,2021-12-06
0,0,0,39,122,254,592,438,760,2021-12-13
0,0,0,24,100,220,532,390,689,2021-12-20
0,0,0,25,102,226,550,402,713,2021-12-27
0,0,12,73,181,357,817,606,1050,2022-01-03
0,7,39,116,252,475,1063,793,1362,2022-01-10
2,28,67,161,329,604,1334,998,1707,2022-01-17
14,44,88,195,387,703,1549,1159,1982,2022-01-24
22,55,103,220,431,780,1718,1285,2202,2022-01-31
24,57,107,227,444,806,1786,1333,2293,2022-02-07
31,66,120,249,483,875,1942,1448,2496,2022-02-14
29,64,117,247,482,877,1960,1458,2524,2022-02-21
29,65,118,249,489,893,2005,1489,2587,2022-02-28
27,62,116,246,486,892,2016,1494,2606,2022-03-07
31,68,124,261,513,942,2134,1579,2761,2022-03-14
27,63,118,252,501,925,2110,1557,2736,2022-03-21
24,59,113,245,491,912,2093,1542,2719,2022-03-28
21,55,108,238,481,898,2073,1524,2698,2022-04-04
13,46,96,220,452,850,1980,1451,2582,2022-04-11
5,36,82,199,416,792,1861,1361,2433,2022-04-18
0,17,57,158,347,676,1613,1173,2116,2022-04-25
0,4,40,131,301,598,1448,1049,1905,2022-05-02
0,0,23,103,254,517,1274,919,1683,2022-05-09
0,0,4,73,202,428,1081,774,1434,2022-05-16
0,0,0,43,150,338,884,627,1179,2022-05-23
0,0,0,28,125,295,790,556,1058,2022-05-30
0,0,0,9,92,238,664,463,896,2022-06-06
0,0,0,2,80,218,622,431,841,2022-06-13
0,0,0,0,72,205,594,410,807,2022-06-20
0,0,0,0,56,177,533,364,728,2022-06-27
0,0,0,0,38,146,466,315,642,2022-07-04
0,0,0,0,27,127,424,283,588,2022-07-11
0,0,0,0,21,116,402,267,560,2022-07-18
0,0,0,0,16,108,386,254,540,2022-07-25
0,0,0,0,12,102,374,245,525,2022-08-01
0,0,0,0,6,92,352,228,497,2022-08-08
0,0,0,0,8,97,366,237,515,2022-08-15
0,0,0,0,6,94,359,232,507,2022-08-22
0,0,0,0,9,100,376,244,531,2022-08-29
0,0,0,0,4,91,355,229,504,2022-09-05
0,0,0,0,14,108,400,260,564,2022-09-12
0,0,0,0,11,105,393,255,556,2022-09-19
0,0,0,0,17,116,422,275,594,2022-09-26
0,0,0,0,17,116,424,276,598,2022-10-03
