lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
3,18,37,77,135,212,369,303,436,2021-10-11
0,7,25,62,116,188,337,274,400,2021-10-18
0,1,18,54,107,178,325,262,387,2021-10-25
0,0,16,52,105,176,325,262,389,2021-11-01
0,0,13,49,102,173,323,259,387,2021-11-08
0,0,12,48,101,174,327,261,392,2021-11-15
0,0,9,44,97,169,322,257,388,2021-11-22
0,0,12,49,104,179,340,271,410,2021-11-29
0,0,18,57,116,198,371,297,447,2021-12-06
0,0,15,53,111,191,363,289,438,2021-12-13
0,0,10,47,103,181,349,277,423,2021-12-20
0,0,0,34,87,159,315,248,384,2021-12-27
0,0,11,49,107,188,364,288,441,2022-01-03
0,0,15,55,116,201,387,307,469,2022-01-10
0,0,18,60,123,212,406,322,492,2022-01-17
0,5,26,71,140,237,448,357,541,2022-01-24
0,16,39,89,165,272,507,406,612,2022-01-31
3,21,45,97,178,291,540,432,651,2022-02-07
12,31,58,115,203,327,601,482,723,2022-02-14
15,35,63,122,213,343,629,505,756,2022-02-21
25,47,77,142,242,385,699,562,840,2022-02-28
31,54,86,155,262,413,748,603,898,2022-03-07
45,71,107,183,302,471,846,683,1014,2022-03-14
41,66,101,176,292,458,826,666,992,2022-03-21
42,67,102,178,295,463,837,674,1005,2022-03-28
59,88,127,213,346,536,960,776,1151,2022-04-04
65,95,137,226,365,564,1009,815,1210,2022-04-11
72,103,147,240,386,595,1062,859,1273,2022-04-18
79,112,157,255,408,627,1117,904,1339,2022-04-25
91,126,174,279,443,677,1204,974,1442,2022-05-02
97,133,183,292,462,706,1253,1015,1501,2022-05-09
103,141,192,305,481,734,1303,1054,1560,2022-05-16
89,124,172,277,442,678,1211,978,1452,2022-05-23
85,119,166,269,431,664,1187,959,1425,2022-05-30
71,103,147,243,393,610,1098,885,1320,2022-06-06
56,84,124,212,349,546,992,797,1195,2022-06-13
42,69,106,186,312,493,904,724,1090,2022-06-20
32,57,92,166,284,455,840,672,1016,2022-06-27
30,54,88,161,278,446,827,660,1000,2022-07-04
24,47,80,151,263,425,792,631,961,2022-07-11
18,40,71,139,247,402,755,601,917,2022-07-18
10,30,59,123,223,368,699,554,850,2022-07-25
2,21,48,108,201,337,648,512,790,2022-08-01
0,12,37,92,180,306,595,469,728,2022-08-08
0,11,35,89,176,301,587,462,719,2022-08-15
0,0,20,69,146,258,514,401,631,2022-08-22
0,0,18,65,140,250,502,392,618,2022-08-29
0,0,9,53,123,226,461,358,569,2022-09-05
0,0,1,42,107,202,420,324,521,2022-09-12
0,0,0,36,99,191,401,309,498,2022-09-19
0,0,0,24,82,166,359,274,448,2022-09-26
0,0,0,27,85,171,369,282,460,2022-10-03
