lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,0,15,61,160,118,204,2021-10-11
0,0,0,0,20,69,176,130,224,2021-10-18
0,0,0,0,17,65,172,125,220,2021-10-25
0,0,0,0,14,62,170,123,218,2021-11-01
0,0,0,0,25,79,200,147,254,2021-11-08
0,0,0,0,31,89,219,162,278,2021-11-15
0,0,0,0,31,89,221,163,281,2021-11-22
0,0,0,0,36,97,237,176,301,2021-11-29
0,0,0,0,37,100,244,181,310,2021-12-06
0,0,0,0,38,102,250,185,318,2021-12-13
0,0,0,0,35,99,246,181,314,2021-12-20
0,0,0,0,36,100,250,184,319,2021-12-27
0,0,0,15,71,152,343,259,432,2022-01-03
0,0,0,30,93,186,404,307,505,2022-01-10
0,0,0,41,110,213,454,347,567,2022-01-17
0,0,8,54,130,243,511,392,636,2022-01-24
0,0,25,79,168,300,614,475,762,2022-01-31
0,3,29,85,178,317,646,500,802,2022-02-07
0,16,44,108,212,370,744,578,921,2022-02-14
3,25,55,125,238,409,819,637,1012,2022-02-21
12,35,69,145,269,458,909,708,1123,2022-02-28
20,46,82,164,300,504,996,777,1230,2022-03-07
29,57,96,185,332,554,1090,851,1345,2022-03-14
29,57,96,186,334,558,1100,858,1359,2022-03-21
24,51,89,175,318,536,1063,828,1314,2022-03-28
47,79,125,228,400,661,1294,1012,1597,2022-04-04
58,92,141,253,439,722,1409,1102,1738,2022-04-11
57,91,140,251,437,720,1408,1100,1738,2022-04-18
52,86,134,243,424,702,1378,1075,1703,2022-04-25
63,99,151,268,463,763,1494,1167,1845,2022-05-02
63,99,151,268,465,766,1503,1173,1857,2022-05-09
60,96,147,263,458,756,1487,1159,1838,2022-05-16
44,76,122,227,403,674,1336,1039,1655,2022-05-23
43,75,121,226,401,671,1333,1036,1652,2022-05-30
38,68,113,214,383,644,1284,997,1594,2022-06-06
26,55,95,188,344,585,1177,911,1463,2022-06-13
19,46,85,173,321,549,1111,859,1383,2022-06-20
7,31,65,145,279,486,997,767,1245,2022-06-27
4,28,62,140,273,478,986,757,1233,2022-07-04
0,21,53,128,254,450,936,717,1173,2022-07-11
0,14,44,115,234,420,884,675,1110,2022-07-18
0,0,25,86,190,353,758,576,957,2022-07-25
0,0,18,77,177,332,722,546,913,2022-08-01
0,0,19,79,180,338,735,556,930,2022-08-08
0,0,10,65,158,305,674,507,855,2022-08-15
0,0,0,49,134,267,603,451,768,2022-08-22
0,0,0,27,99,213,501,371,643,2022-08-29
0,0,0,27,100,215,506,374,649,2022-09-05
0,0,0,21,91,201,480,354,618,2022-09-12
0,0,0,14,80,184,448,328,578,2022-09-19
0,0,0,3,63,157,397,289,516,2022-09-26
0,0,0,5,67,164,412,299,534,2022-10-03
