lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
48,73,108,181,293,449,791,643,942,2021-10-11
35,58,90,159,265,415,743,601,890,2021-10-18
25,47,77,143,245,390,711,571,855,2021-10-25
22,44,75,141,244,392,722,579,872,2021-11-01
27,50,82,153,264,423,782,625,945,2021-11-08
25,49,81,153,266,429,799,637,968,2021-11-15
31,57,92,168,290,468,874,696,1060,2021-11-22
24,48,82,156,275,448,846,671,1030,2021-11-29
25,50,84,160,282,462,877,694,1070,2021-12-06
18,42,75,148,266,441,848,668,1037,2021-12-13
7,29,60,128,238,401,783,614,961,2021-12-20
0,16,44,106,207,357,711,555,877,2021-12-27
25,51,87,169,302,501,972,763,1194,2022-01-03
40,69,110,203,355,584,1127,885,1383,2022-01-10
66,101,150,262,445,722,1382,1088,1695,2022-01-17
85,124,180,306,514,828,1583,1247,1942,2022-01-24
110,155,219,364,604,969,1847,1455,2266,2022-01-31
115,162,229,380,630,1012,1935,1523,2376,2022-02-07
132,183,256,421,695,1115,2133,1678,2622,2022-02-14
138,190,265,436,721,1158,2222,1746,2734,2022-02-21
155,212,293,479,789,1265,2432,1909,2994,2022-02-28
185,249,341,550,901,1442,2771,2175,3413,2022-03-07
208,277,376,604,987,1579,3037,2383,3743,2022-03-14
223,296,402,643,1051,1681,3240,2539,3996,2022-03-21
259,341,458,729,1186,1896,3655,2863,4510,2022-03-28
356,460,611,958,1545,2458,4728,3706,5834,2022-04-04
381,492,652,1021,1648,2624,5058,3961,6246,2022-04-11
402,518,686,1073,1732,2762,5335,4175,6594,2022-04-18
409,527,698,1094,1769,2825,5471,4277,6767,2022-04-25
416,537,711,1116,1806,2888,5607,4379,6941,2022-05-02
429,553,733,1151,1864,2986,5808,4533,7195,2022-05-09
422,545,723,1138,1848,2964,5782,4508,7169,2022-05-16
368,478,639,1013,1654,2665,5219,4063,6479,2022-05-23
308,405,546,875,1438,2329,4584,3563,5697,2022-05-30
287,379,513,825,1363,2213,4370,3393,5436,2022-06-06
252,336,459,745,1238,2019,4003,3104,4986,2022-06-13
209,283,391,643,1077,1767,3523,2726,4393,2022-06-20
174,240,336,561,950,1568,3146,2429,3929,2022-06-27
157,219,310,523,892,1480,2983,2300,3731,2022-07-04
118,172,249,432,748,1253,2547,1959,3192,2022-07-11
98,146,217,383,671,1133,2319,1779,2911,2022-07-18
90,137,205,366,647,1095,2251,1725,2829,2022-07-25
74,117,180,329,587,1002,2073,1585,2609,2022-08-01
59,99,157,293,532,914,1905,1453,2401,2022-08-08
48,85,139,266,488,846,1775,1352,2241,2022-08-15
31,63,111,224,422,741,1570,1192,1986,2022-08-22
12,40,82,179,350,626,1344,1016,1706,2022-08-29
8,36,75,170,336,605,1304,985,1657,2022-09-05
0,23,59,146,298,543,1184,891,1507,2022-09-12
0,18,53,136,282,519,1139,855,1451,2022-09-19
0,6,37,112,243,456,1013,758,1295,2022-09-26
0,2,32,105,232,439,982,733,1256,2022-10-03
