lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,34,89,168,341,266,418,2021-10-11
0,0,0,37,95,177,362,282,445,2021-10-18
0,0,0,37,96,182,374,290,461,2021-10-25
0,0,0,35,95,182,378,292,468,2021-11-01
0,0,0,40,103,196,407,314,504,2021-11-08
0,0,3,45,112,210,435,336,539,2021-11-15
0,0,10,56,130,238,489,379,605,2021-11-22
0,0,16,64,143,260,531,411,658,2021-11-29
0,0,19,70,153,277,566,438,702,2021-12-06
0,0,19,70,154,279,576,444,715,2021-12-13
0,0,13,62,143,265,554,426,690,2021-12-20
0,0,11,60,141,263,554,425,693,2021-12-27
1,23,53,122,236,409,823,638,1020,2022-01-03
15,40,76,156,289,490,977,760,1209,2022-01-10
37,67,109,206,366,610,1201,937,1485,2022-01-17
56,90,139,250,435,718,1408,1099,1739,2022-01-24
78,117,174,302,517,848,1655,1293,2044,2022-01-31
98,143,206,352,595,970,1891,1478,2336,2022-02-07
133,185,260,432,722,1170,2273,1778,2807,2022-02-14
150,206,288,475,791,1279,2489,1945,3076,2022-02-21
160,220,305,502,835,1352,2636,2058,3261,2022-02-28
180,244,337,550,913,1477,2883,2250,3569,2022-03-07
195,263,362,590,977,1581,3090,2410,3828,2022-03-14
192,260,358,586,973,1579,3098,2412,3842,2022-03-21
194,262,362,592,986,1604,3156,2455,3918,2022-03-28
215,289,397,646,1073,1744,3435,2670,4266,2022-04-04
212,285,392,641,1067,1739,3435,2668,4272,2022-04-11
193,263,364,600,1004,1643,3262,2529,4061,2022-04-18
187,256,356,588,989,1622,3229,2501,4025,2022-04-25
188,257,357,592,996,1637,3268,2528,4075,2022-05-02
182,249,348,579,978,1611,3226,2493,4027,2022-05-09
147,207,294,498,851,1413,2847,2196,3560,2022-05-16
116,169,245,425,736,1231,2499,1923,3130,2022-05-23
100,149,220,388,678,1140,2327,1788,2918,2022-05-30
82,126,191,343,608,1031,2118,1623,2660,2022-06-06
52,89,144,272,494,851,1768,1351,2226,2022-06-13
20,49,92,194,370,653,1382,1050,1747,2022-06-20
15,43,85,183,354,628,1339,1015,1695,2022-06-27
16,45,88,188,363,645,1378,1044,1746,2022-07-04
11,39,80,176,346,619,1331,1006,1690,2022-07-11
0,25,62,149,303,552,1202,905,1529,2022-07-18
0,14,48,128,270,500,1102,827,1406,2022-07-25
0,8,40,117,253,473,1050,786,1343,2022-08-01
0,1,31,103,231,438,984,734,1261,2022-08-08
0,0,17,81,195,381,872,647,1121,2022-08-15
0,0,12,74,185,365,842,623,1085,2022-08-22
0,0,8,68,175,351,815,602,1052,2022-08-29
0,0,3,61,164,333,781,575,1009,2022-09-05
0,0,3,60,163,332,782,575,1011,2022-09-12
0,0,0,53,151,313,743,545,964,2022-09-19
0,0,0,51,149,310,740,542,961,2022-09-26
0,0,0,51,150,312,745,546,967,2022-10-03
