lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,0,0,16,41,73,130,107,153,2021-10-11
0,0,0,21,48,82,144,118,168,2021-10-18
0,0,4,25,54,90,156,129,182,2021-10-25
0,0,5,27,57,94,163,135,191,2021-11-01
0,0,9,32,64,103,176,146,206,2021-11-08
0,2,14,39,73,115,194,162,226,2021-11-15
0,11,25,53,91,138,227,190,262,2021-11-22
14,26,43,74,118,173,276,233,317,2021-11-29
18,31,48,82,128,185,295,250,339,2021-12-06
20,34,51,86,134,194,308,260,354,2021-12-13
12,25,42,74,120,176,285,240,329,2021-12-20
18,32,50,84,133,194,311,262,358,2021-12-27
52,70,93,138,201,281,434,370,495,2022-01-03
66,86,111,161,231,319,488,418,557,2022-01-10
74,95,122,175,249,342,523,448,597,2022-01-17
87,109,138,196,276,378,575,493,655,2022-01-24
98,122,152,214,300,409,620,532,706,2022-01-31
109,134,167,232,323,440,666,572,758,2022-02-07
106,131,164,229,320,436,662,568,754,2022-02-14
97,121,152,215,302,415,633,542,722,2022-02-21
97,121,153,216,305,418,639,547,730,2022-02-28
92,116,146,208,295,407,625,534,714,2022-03-07
100,124,157,221,313,430,659,563,753,2022-03-14
102,127,160,226,319,439,673,575,769,2022-03-21
86,109,140,201,287,398,615,524,704,2022-03-28
91,115,147,210,299,414,640,545,733,2022-04-04
87,111,142,204,291,404,627,534,719,2022-04-11
77,99,128,187,270,378,589,501,677,2022-04-18
75,98,127,185,269,376,588,499,675,2022-04-25
75,97,127,185,269,377,590,501,678,2022-05-02
66,88,116,172,252,355,558,473,643,2022-05-09
56,76,102,155,230,327,519,439,598,2022-05-16
41,59,83,131,199,288,462,389,535,2022-05-23
23,39,60,102,161,239,392,328,456,2022-05-30
11,26,45,83,137,208,348,289,406,2022-06-06
3,17,34,70,120,186,316,261,369,2022-06-13
0,2,17,48,92,149,263,215,310,2022-06-20
0,0,7,36,77,130,235,191,278,2022-06-27
0,0,0,25,63,112,209,168,249,2022-07-04
0,0,0,19,55,102,195,156,233,2022-07-11
0,0,0,13,47,91,178,142,215,2022-07-18
0,0,0,9,41,84,169,133,204,2022-07-25
0,0,0,9,41,84,169,133,204,2022-08-01
0,0,0,8,40,83,167,132,202,2022-08-08
0,0,0,8,41,84,169,133,204,2022-08-15
0,0,0,4,36,77,160,125,194,2022-08-22
0,0,0,1,31,71,151,117,184,2022-08-29
0,0,0,0,26,65,141,109,173,2022-09-05
0,0,0,0,30,69,148,115,181,2022-09-12
0,0,0,0,30,70,149,116,182,2022-09-19
0,0,0,1,32,72,152,118,186,2022-09-26
0,0,0,0,31,71,151,117,184,2022-10-03
