lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date
0,12,29,66,119,188,329,270,388,2021-10-11
1,16,35,73,130,205,357,293,422,2021-10-18
0,14,33,73,130,207,364,297,430,2021-10-25
2,17,37,79,139,221,388,317,460,2021-11-01
13,29,52,98,167,259,451,370,533,2021-11-08
18,36,60,110,184,284,493,404,582,2021-11-15
36,56,84,143,230,348,596,490,703,2021-11-22
47,70,101,165,262,393,671,552,791,2021-11-29
56,81,114,184,288,431,735,605,866,2021-12-06
53,77,110,180,285,428,734,603,867,2021-12-13
37,59,90,153,249,381,663,542,786,2021-12-20
43,66,98,165,266,406,707,578,839,2021-12-27
107,141,188,286,436,643,1089,897,1286,2022-01-03
132,170,223,335,505,741,1252,1032,1477,2022-01-10
142,182,238,356,536,787,1332,1097,1572,2022-01-17
158,202,262,390,585,858,1451,1195,1715,2022-01-24
171,218,281,416,624,915,1551,1276,1833,2022-01-31
167,213,276,411,618,909,1546,1270,1830,2022-02-07
173,220,285,424,638,939,1602,1315,1897,2022-02-14
160,205,267,401,608,899,1541,1262,1827,2022-02-21
160,206,269,404,612,908,1560,1277,1853,2022-02-28
153,197,259,391,596,887,1530,1251,1819,2022-03-07
155,200,262,397,605,902,1560,1274,1855,2022-03-14
145,189,249,380,582,871,1513,1234,1802,2022-03-21
127,168,225,347,536,807,1410,1148,1682,2022-03-28
122,162,217,337,523,790,1385,1126,1654,2022-04-04
116,156,210,328,511,774,1362,1106,1628,2022-04-11
90,125,173,277,440,673,1195,968,1432,2022-04-18
79,112,158,257,411,633,1132,914,1358,2022-04-25
76,109,154,251,404,624,1119,903,1344,2022-05-02
69,100,143,238,385,598,1077,868,1294,2022-05-09
59,88,129,218,358,560,1015,816,1221,2022-05-16
45,72,110,192,320,506,925,742,1116,2022-05-23
30,55,88,162,278,446,825,659,998,2022-05-30
16,37,67,133,237,386,725,577,880,2022-06-06
9,29,58,120,217,359,680,540,827,2022-06-13
0,18,43,100,190,319,613,485,748,2022-06-20
0,11,35,89,173,296,575,453,703,2022-06-27
0,4,27,78,158,275,540,424,662,2022-07-04
0,0,14,59,131,235,474,369,583,2022-07-11
0,0,5,47,114,211,433,335,535,2022-07-18
0,0,0,37,100,191,399,308,495,2022-07-25
0,0,0,37,99,191,399,308,495,2022-08-01
0,0,0,37,100,192,402,310,499,2022-08-08
0,0,0,38,102,195,408,314,506,2022-08-15
0,0,0,27,86,171,368,281,458,2022-08-22
0,0,0,24,81,164,356,272,445,2022-08-29
0,0,0,28,88,175,376,287,468,2022-09-05
0,0,0,31,92,181,387,296,482,2022-09-12
0,0,0,32,93,183,390,299,486,2022-09-19
0,0,0,30,91,180,385,295,480,2022-09-26
0,0,0,38,103,198,418,321,519,2022-10-03
