"","Data","prev_med","LB_95","UB_95","LB_90","UB_90","LB_80","UB_80","LB_50","UB_50"
"16",202341,19.126632633243,0,221.468701952747,0,127.986698651986,0,174.046604476345,0,67.6390495568313
"17",202342,22.9533815936649,0,238.376270432588,0,138.351737122325,0,187.550611558486,0,74.1975818127661
"18",202343,21.0146297391852,0,239.190619535782,0,137.416927412061,0,187.395945391633,0,72.5338015414173
"19",202344,18.2030243388994,0,237.014429738346,0,134.503923995798,0,184.769408165693,0,69.5181852130855
"20",202345,20.0274141320135,0,247.717055372185,0,140.619270221235,0,193.06055694133,0,73.0818388537609
"21",202346,23.405781493372,0,262.875344288523,0,149.81594785146,0,205.103790232727,0,78.8690947218887
"22",202347,25.5668180433783,0,274.419751916913,0,156.521169077819,0,214.104601509651,0,82.8777199497869
"23",202348,26.0274325759166,0,280.738995222853,0,159.67271700731,0,218.735156723265,0,84.3763147941739
"24",202349,28.103015041745,0,291.781877433064,0,166.073072590202,0,227.334062111647,0,88.2049842819282
"25",202350,31.2094554241821,0,305.92164598006,0,174.581236345613,0,238.521668242452,0,93.5329193048204
"26",202351,23.0775021250236,0,284.892858462417,0,159.386378768722,0,220.428424858868,0,82.2134141805186
"27",202352,25.8012384678038,0,297.413629652184,0,166.887498783611,0,230.314069525824,0,86.895837207481
"28",202401,71.4135291485208,0,446.677058442339,0,265.921146250138,0,353.681954221304,15.0031751707607,155.493797727954
"29",202402,81.9984155159972,0,485.665419013494,0,290.802758874167,0,385.337477093505,21.7282896961912,172.109493471097
"30",202403,103.606013198503,0,560.878701919534,0,339.675303479367,0,446.906687088097,35.7764011952326,205.321162187678
"31",202404,116.427169756594,0,608.239843333585,0,369.857589191715,0,485.33313434338,43.9223123941554,225.45836034491
"32",202405,151.75857520233,0,730.217428889081,0,449.315675267855,15.3842554319995,585.295338474775,66.9750406086937,279.591943543492
"33",202406,158.756011866126,0,759.509975153387,0,467.269897789829,18.0296609034405,608.646995258607,71.1877626319588,291.118340747349
"34",202407,184.151632855266,0,850.361467240355,3.1599868968384,525.744123621515,29.0338133533177,682.688645889975,87.5458795818678,330.519458141805
"35",202408,219.806793753035,0,976.56532791858,15.474792570953,607.252206477479,44.6109102154541,785.703130990716,110.608866253605,385.62241063223
"36",202409,267.116693236412,8.39063096772776,1143.41619980943,31.8777595037068,715.135547999666,65.3401900868802,921.966607258366,141.25582632803,458.637975729499
"37",202410,302.535727858997,18.1619396756435,1271.29614364626,43.9002941247392,797.168946074325,80.6070226928571,1026.02280063801,164.005399516773,513.756432631894
"38",202411,337.058403869836,27.5953953446332,1397.0763472875,55.5254030582867,877.606179568767,95.3957047177317,1128.22410125283,186.107749547358,567.650731919897
"39",202412,355.995902373316,32.4365029246013,1470.05250357324,61.5606454372068,923.424452721099,103.173045580845,1187.02297777135,197.973204177309,597.822019115265
"40",202413,351.792576264947,30.574575300759,1463.21804224112,59.4147490479959,917.243357211112,100.656539579405,1180.41183884851,194.729297417902,592.555961542898
"41",202414,442.074768101946,55.9430947717862,1784.30949535023,90.5283452225356,1124.22407850495,140.025547097251,1442.26424351489,253.061869042271,732.276379802422
"42",202415,501.982939420216,72.4196658729097,2001.75247422249,110.80767257119,1263.42448436519,165.789168016686,1619.02405132159,291.489806757034,825.652349303453
"43",202416,506.467687746334,72.9848904854691,2026.21492691167,111.639885134664,1277.31383501449,167.043753522243,1637.87212200742,293.843584020148,833.881041112935
"44",202417,486.191326847552,66.5460688798283,1963.21454467492,103.890942132151,1234.68814265045,157.453603348064,1585.3140609286,280.161886574072,803.87880481107
"45",202418,502.145817001738,70.4443082230303,2027.26132490295,108.788014898751,1274.35059720038,163.818843365939,1636.59194522501,290.009665066504,829.668204173514
"46",202419,481.115711680862,63.9138605560905,1960.20082265585,100.902048843939,1229.40538361935,154.019935922756,1580.89609989332,275.933092311844,798.286097362851
"47",202420,479.797456962084,62.9984103410486,1962.38263548906,99.8869926606153,1229.28042506944,152.892530996338,1581.77572049657,274.650769270759,797.275859740071
"48",202421,426.993559768981,47.6875191114987,1780.47178061345,81.2028361856044,1110.71096158084,129.387707595674,1432.65929984404,240.161107924953,716.44316639295
"49",202422,404.41339697787,40.9385721541232,1705.27495888436,73.0052579307368,1061.09749053745,119.131362460342,1370.66556296582,225.252189619481,682.263373379349
"50",202423,370.594457532318,31.1186110313147,1588.99854656976,61.0240845184788,985.251359505382,104.062534932985,1275.31689201886,203.150725317678,630.524867549187
"51",202424,343.867591849561,23.3420480326506,1497.33393629214,51.5388968628657,925.404759748842,92.1372387061916,1200.11794445501,185.670970169913,589.669093702956
"52",202425,321.563009686693,16.8484417792224,1420.90492975409,43.6191349232576,875.487856839232,82.1810183387979,1137.40733594492,171.080048564868,555.58262984292
"53",202426,284.263195381188,5.94574145361702,1293.71532351025,30.3297564547643,792.268962419228,65.4862037610415,1032.95848424156,146.643897298073,498.669599946007
"54",202427,281.700911611998,4.67066701210122,1291.94284401174,28.8734212517546,789.464635508898,63.8014375265995,1030.53245975998,144.542902305558,495.787424422496
"55",202428,261.239749115053,0,1224.08758471236,21.4423360340929,744.606746624824,54.5028581196882,974.535953459201,131.026817736017,464.844192633152
"56",202429,238.793661527353,0,1147.83368070744,13.4350522564361,694.634776361178,44.4451570779738,911.8666391728,116.311383562564,430.629240129253
"57",202430,205.077522013395,0,1028.79710015107,1.75528519916773,617.695017315845,29.6822357579136,814.667913864729,94.4784399926573,378.573843153757
"58",202431,194.224114687249,0,993.348156827759,0,594.118596338944,24.7161942067086,785.328939382046,87.2813042136324,362.234231158213
"59",202432,199.087935420999,0,1015.96303817108,0,607.476649895865,26.4403470101274,803.048991007889,90.1103215686958,370.535173347081
"60",202433,169.446204835264,0,909.242080177296,0,538.967525464045,13.6227654878091,716.183816856654,71.0422322441083,324.463925356819
"61",202434,142.554563962591,0,811.825835866953,0,476.565598056479,2.03993560732609,636.971401297138,53.7790920094786,282.579424356702
"62",202435,107.7244648883,0,683.575529923405,0,394.882034718437,0,532.965340353901,31.5414015343814,228.029447837778
"63",202436,106.174200580553,0,680.251158105759,0,392.230218907384,0,529.95176418863,30.4142289867709,225.944502492454
"64",202437,98.8453523909249,0,654.818893940398,0,375.682546762679,0,509.119153569459,25.6462015990445,214.68897319831
"65",202438,85.9126105965851,0,607.762679791657,0,345.583322998226,0,470.881468330377,17.3578347429884,194.513773660966
"66",202439,71.1001730006714,0,553.143670197458,0,310.810691380203,0,426.595789654179,7.90654666560246,171.302067441584
"67",202440,72.3914992976263,0,559.758537067906,0,314.60402407337,0,431.710302832333,8.62527641556275,173.590365067423
