epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,24,22.6250763717891,26.3781976623978,30.9032818237307,0.00226746461008681,0.0703635581549642,0.282448585952808,115.94214472086,0.995809101378082,0.997914895123353,0.99966261473821,53.7065875448036,74.1645703032314,90.0566722867704,8.52633315025994,7
201002,23,22.7269151383034,26.2760157754335,31.0353093388917,0.00234446042732418,0.0731179603741275,0.297460886648197,120.429212343697,0.9958151255829,0.997913521369759,0.999640657926219,53.4966531642315,73.9799004149299,89.5454379815573,8.55622958813164,7
201003,30,22.8157494099335,26.3512935078103,31.2515639973903,0.00247978436063609,0.0760709792841715,0.312814439982567,125.218751795759,0.995826990697441,0.997932596655376,0.99965358729349,52.6854437346298,73.1777460491664,89.0352291535039,8.63688951184132,7
201004,44,22.8921393655122,26.5546346118328,31.5220866048506,0.0026597262346827,0.079142740079542,0.328317408739826,130.183692744352,0.995842901637443,0.997967849430759,0.999694611544567,51.4874188489545,71.9873866671427,88.5688769216032,8.75285449235887,7
201005,61,22.9566451838722,26.8366428398056,31.8169179668968,0.00287057587412417,0.0822533679546844,0.343777955703882,135.196964856782,0.995861063318644,0.998015008146457,0.999756939383992,50.1170381001618,70.6381017300608,88.189212404848,8.8886661006542,7
201006,80,23.0098270438463,27.1479219440333,32.106098889153,0.00309862310362066,0.0853229881040445,0.359004243658644,140.131497800357,0.99587968065678,0.998069801253022,0.999833779516308,48.7887610812077,69.3591706991226,87.939066722231,9.02886590769721,7
201007,100,23.0520463896118,27.4099157529098,32.3461321957901,0.0033292105022917,0.0883991832576332,0.374916754340533,145.070160931325,0.995891700071137,0.998123026396743,0.999912970714498,47.8442157675628,68.5342136176768,87.90475479616,9.15431957307997,7
201008,118,23.0849571281053,27.5930427224976,32.5078989295153,0.00354667855364593,0.0912188174357096,0.390062211643525,149.586294481331,0.995903340875289,0.998177310162612,0.999995638732999,47.4885534202921,68.369326572021,88.1426430063887,9.24644481176656,7
201009,128,23.1083113197697,27.6497319178212,32.567885883883,0.00373612395413965,0.0936748593718749,0.403905348939281,153.505198223415,0.995911700756549,0.998227835494014,1.00007273851954,47.8492932340196,68.9699999074939,88.6329145571038,9.28824394089625,5
201010,131,23.1254958841132,27.5785921915603,32.5361299089611,0.00389778100498996,0.0956912882903025,0.41488430541048,156.702115161775,0.99591074316987,0.998266481112473,1.00013453379896,48.7931990032149,70.1915372938508,89.2747805148155,9.28308023690408,6
201011,127,23.1354370155892,27.4056556886154,32.4292595773554,0.00403082878676632,0.0971927305558735,0.421789605224349,159.055466216842,0.99591334278585,0.998302323513134,1.00018783163128,50.0806954870974,71.7375527544443,89.9258466826174,9.23734256155278,7
