epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot
201001,315,23.4668856386094,27.0959769716584,31.9579877600478,0.0031131146505444,0.0835788469658162,0.362398852854304,117.605243219542
201002,322,23.5875624373322,26.9964867109441,32.0492198106973,0.00345140264141178,0.0934908724734053,0.40255820460339,130.985315910027
201003,364,23.750632119585,27.1242615121856,32.2217241862349,0.00380610656793274,0.105096233528631,0.447317495096549,146.648899943001
201004,431,23.9355901108311,27.4102982586213,32.4402270425098,0.0041667782822225,0.117719538571469,0.494722439844734,163.684293165442
201005,513,24.1219318365337,27.7855938334899,32.6694545353714,0.00452296963639628,0.130685396041898,0.542818754358899,181.179793424327
201006,599,24.289152722156,28.18114512003,32.8741328206687,0.00486423248256931,0.143318414379895,0.589652154149996,198.223698566634
201007,678,24.4050172418971,28.4861231090128,32.9939597867992,0.00519384394769935,0.155150534112986,0.634624245002409,214.192004419178
201008,732,24.4425476112545,28.65027079223,33.0011619437028,0.0054687833314113,0.16467441243506,0.672332036445555,227.051510994736
201009,752,24.4001245489207,28.6219351864469,32.8785346996962,0.00569249594728745,0.171898585424877,0.702844313156584,236.787525961537
201010,738,24.293693805351,28.3982991395588,32.6357408179404,0.00586234882978312,0.176383059324252,0.724113949405846,242.78421774073
201011,700,24.1530147865837,28.0322474544355,32.3138350459875,0.0059884641361557,0.178301101548934,0.7355537047117,245.25801751544
201012,651,24.0026810999202,27.6033325255135,31.9603372849003,0.00605513845888108,0.177296121484439,0.735153004626877,243.724446076961
201013,608,23.8704839959966,27.2157133948016,31.6376949856678,0.00603896102476849,0.172569723727418,0.719375451707913,237.110716029733
201014,588,23.7783452588966,26.9544422435048,31.3958997988589,0.00592553795366603,0.16417814941418,0.688498800645718,225.500814741448
201015,599,23.7308007329837,26.861261767188,31.2634693199118,0.00571371041688636,0.152652440437497,0.644641600051389,209.627394186501
201016,637,23.7203689669745,26.9254847667696,31.2415684618446,0.0054474765281387,0.139107114293724,0.59179392735064,191.00967837344
